probe	HUGO.gene.symbol
AF043324	AF043324	NMT1
AF043467	AF043467	NXPH2
AF043469	AF043469	NXPH4
AF043583	AF043583	NA
AF043897	AF043897	C9orf3
AF044127	AF044127	NA
AF044774	AF044774	WDR22
AF045229	AF045229	RGS10
AF047002	AF047002	THOC4
AF047245	AF047245	NA
AF047826	AF047826	CDH19
AF049140	AF049140	UBE2V2
AF049460	AF049460	DEAF1
AF049524	AF049524	NA
AF049615	AF049615	NA
AF049656	AF049656	NA
AF050145	AF050145	NA
AF050198	AF050198	C10orf28
AF051151	AF051151	TLR5
AF052087	AF052087	NA
AF052090	AF052090	NA
AF052091	AF052091	NA
AF052093	AF052093	C17orf75
AF052094	AF052094	EPAS1
AF052095	AF052095	NA
AF052099	AF052099	MTMR9
AF052100	AF052100	NA
AF052101	AF052101	NA
AF052103	AF052103	NA
AF052105	AF052105	C12orf22
AF052106	AF052106	C6orf106
AF052107	AF052107	NA
AF052108	AF052108	NA
AF052109	AF052109	NA
AF052115	AF052115	NA
AF052116	AF052116	NA
AF052117	AF052117	NA
AF052119	AF052119	NA
AF052120	AF052120	NA
AF052121	AF052121	NA
AF052122	AF052122	ADCK4
AF052130	AF052130	NA
AF052138	AF052138	NA
AF052140	AF052140	NA
AF052141	AF052141	NA
AF052142	AF052142	NCALD
AF052145	AF052145	ZNF804A
AF052146	AF052146	NA
AF052148	AF052148	NA
AF052149	AF052149	BSCL2
AF052150	AF052150	NA
AF052151	AF052151	FAM89B
AF052152	AF052152	NA
AF052155	AF052155	SEC13
AF052159	AF052159	PTPLB
AF052160	AF052160	NA
AF052162	AF052162	AYTL2
AF052167	AF052167	MRS2L
AF052169	AF052169	KCTD12
AF052172	AF052172	NA
AF052174	AF052174	NA
AF052176	AF052176	NA
AF052177	AF052177	NA
AF052178	AF052178	SPRED2
AF052181	AF052181	STX2
AF052183	AF052183	WDR77
AF052185	AF052185	ATPAF2
AF052497	AF052497	MYOZ3
AF052577	AF052577	AKR1B10
AF052692	AF052692	NA
AF052693	AF052693	GJB5
AF053712	AF053712	TNFSF11
AF054589	AF054589	MDFIC
AF054994	AF054994	NA
AF054995	AF054995	NFASC
AF054996	AF054996	IMP4
AF055006	AF055006	EXOC3
AF055007	AF055007	MARCH3
AF055009	AF055009	CREB3L1
AF055011	AF055011	NA
AF055012	AF055012	TGIF2
AF055016	AF055016	C13orf1
AF055018	AF055018	NA
AF055019	AF055019	NA
AF055020	AF055020	SEMA6C
AF055023	AF055023	NF1
AF055027	AF055027	CARM1
AF055029	AF055029	NA
AF055030	AF055030	C6orf120
AF055033	AF055033	IGFBP5
AF055084	AF055084	GPR98
AF055270	AF055270	SFRS7
AF056490	AF056490	PDE8A
AF057354	AF057354	MTMR1
AF058075	AF058075	NA
AF058988	AF058988	NA
AF059531	AF059531	PRMT3
AF060168	AF060168	NA
AF060169	AF060169	NA
AF061034	AF061034	OPTN
AF062341	AF062341	CTNND1
AF063020	AF063020	PSIP1
AF063725	AF063725	NA
AF063936	AF063936	PUNC
AF064200	AF064200	UGT2B4
AF064254	AF064254	SLC27A6
AF064255	AF064255	SLC27A5
AF064606	AF064606	RANBP9
AF064839	AF064839	NA
AF064843	AF064843	NA
AF064854	AF064854	NA
AF065241	AF065241	TXN
AF067420	AF067420	NA
AF067972	AF067972	DNMT3A
AF068296	AF068296	MRPS35
AF068298	AF068298	PPIL4
AF070524	AF070524	CNIH3
AF070525	AF070525	NA
AF070526	AF070526	PLXDC1
AF070530	AF070530	TICAM1
AF070535	AF070535	ACD
AF070536	AF070536	NA
AF070537	AF070537	TMEM183A
AF070538	AF070538	NA
AF070541	AF070541	NA
AF070543	AF070543	NA
AF070547	AF070547	NA
AF070549	AF070549	NA
AF070552	AF070552	CDT1
AF070554	AF070554	NA
AF070557	AF070557	NA
AF070559	AF070559	C13orf27
AF070564	AF070564	NA
AF070565	AF070565	NA
AF070568	AF070568	COG7
AF070569	AF070569	NA
AF070571	AF070571	NA
AF070574	AF070574	C16orf76
AF070575	AF070575	NA
AF070577	AF070577	OPCML
AF070578	AF070578	SLC38A6
AF070579	AF070579	NA
AF070580	AF070580	NA
AF070581	AF070581	NA
AF070582	AF070582	CCDC93
AF070584	AF070584	NA
AF070585	AF070585	NA
AF070586	AF070586	NA
AF070587	AF070587	NA
AF070590	AF070590	DHX57
AF070595	AF070595	NA
AF070596	AF070596	TMEM159
AF070599	AF070599	PPP1R11
AF070602	AF070602	NA
AF070605	AF070605	ATXN2L
AF070606	AF070606	ATP2B1
AF070610	AF070610	NA
AF070617	AF070617	C5orf21
AF070618	AF070618	NA
AF070619	AF070619	NA
AF070620	AF070620	NA
AF070621	AF070621	DIXDC1
AF070623	AF070623	NA
AF070625	AF070625	NA
AF070626	AF070626	TMCO1
AF070628	AF070628	NA
AF070632	AF070632	NA
AF070633	AF070633	IPO9
AF070637	AF070637	EFCBP2
AF070641	AF070641	ETV1
AF070642	AF070642	NA
AF070643	AF070643	IFT20
AF070645	AF070645	USP9X
AF070647	AF070647	NA
AF070648	AF070648	CAV1
AF070651	AF070651	ZNF257
AF071111	AF071111	NA
AF071554	AF071554	NA
AF071569	AF071569	CAMK2D
AF072164	AF072164	NA
AF072467	AF072467	JRK
AF072810	AF072810	BAZ1B
AF072928	AF072928	MTMR6
AF073299	AF073299	SLC9A2
AF073482	AF073482	NA
AF073519	AF073519	NA
AF073705	AF073705	NA
AF073770	AF073770	CROT
AF073931	AF073931	CACNA1H
AF075000	AF075000	NA
AF075050	AF075050	SGTB
AF076612	AF076612	CHRD
AF077036	AF077036	C1orf43
AF077051	AF077051	EIF3S12
AF077188	AF077188	CUL4A
AF077965	AF077965	CLN3
AF078164	AF078164	XRCC6BP1
AF078843	AF078843	DDX47
AF078866	AF078866	SURF4
AF079529	AF079529	PDE8B
AF080158	AF080158	IKBKB
AF080577	AF080577	RAG2
AF082657	AF082657	ERAL1
AF083255	AF083255	DDX42
AF083930	AF083930	PDCD7
AF084530	AF084530	DMTF1
AF084535	AF084535	EPM2A
AF084545	AF084545	NA
AF085243	AF085243	ZNF236
AF085351	AF085351	NA
AF086790	AF086790	NA
AF087940	AF087940	HAND2
AF090116	AF090116	RGS7
AF090117	AF090117	RGS7
AF090318	AF090318	CYP8B1
AF090327	AF090327	ADAM7
AF090353	AF090353	NA
AF090885	AF090885	NA
AF090886	AF090886	NA
AF090895	AF090895	NA
AF090900	AF090900	LIN7C
AF090910	AF090910	NA
AF090911	AF090911	NA
AF090913	AF090913	TMSB10
AF090918	AF090918	NA
AF090920	AF090920	NA
AF090925	AF090925	NA
AF090927	AF090927	NA
AF090935	AF090935	NA
AF090936	AF090936	FGA
AF090944	AF090944	NA
AF090946	AF090946	NA
AF090947	AF090947	NA
AF091434	AF091434	PDGFC
AF092132	AF092132	PAK2
AF092137	AF092137	FKBP7
AF094508	AF094508	DSPP
AF095288	AF095288	PTTG2
AF095289	AF095289	NA
AF095687	AF095687	NA
AF095719	AF095719	CPA4
AF095771	AF095771	NA
AF095910	AF095910	MAP1A
AF097021	AF097021	OLFM4
AF097495	AF097495	NA
AF097645	AF097645	INTS6
AF098485	AF098485	NA
AF098641	AF098641	CD44
AF099032	AF099032	EED
AF100756	AF100756	COPG
AF101051	AF101051	CLDN1
AF103295	AF103295	NA
AF103375	AF103375	NA
AF103458	AF103458	NA
AF103529	AF103529	NA
AF103530	AF103530	NA
AF103574	AF103574	NA
AF103591	AF103591	NA
AF103804	AF103804	CASC4
AF103884	AF103884	HMHB1
AF103907	AF103907	NA
AF104260	AF104260	PIWIL1
AF104921	AF104921	SUCLG1
AF105067	AF105067	LBP
AF106069	AF106069	USP15
AF108138	AF108138	PIF1
AF109294	AF109294	NA
AF109385	AF109385	NA
AF110399	AF110399	TSFM
AF111344	AF111344	CASP10
AF111782	AF111782	MYH13
AF111783	AF111783	MYH4
AF111849	AF111849	ELOVL5
AF112201	AF112201	TAGLN3
AF112213	AF112213	C20orf24
AF112219	AF112219	ESD
AF112220	AF112220	NA
AF113007	AF113007	METTL7A
AF113017	AF113017	NA
AF113018	AF113018	NA
AF113020	AF113020	NUPL1
AF113132	AF113132	PSAT1
AF113674	AF113674	NA
AF113675	AF113675	NA
AF113678	AF113678	NA
AF113687	AF113687	NA
AF113691	AF113691	GLRX5
AF113692	AF113692	NA
AF113694	AF113694	NF2
AF113697	AF113697	NA
AF113698	AF113698	NA
AF114263	AF114263	C15orf41
AF114264	AF114264	NA
AF114818	AF114818	NA
AF116238	AF116238	PUS1
AF116649	AF116649	NA
AF116682	AF116682	NA
AF116689	AF116689	NA
AF116715	AF116715	NA
AF116827	AF116827	COG6
AF116909	AF116909	TBC1D20
AF117222	AF117222	B3GALT1
AF117229	AF117229	ATPBD1C
AF117230	AF117230	CRBN
AF117236	AF117236	MATR3
AF117899	AF117899	NA
AF118072	AF118072	NA
AF118224	AF118224	ST14
AF118274	AF118274	NA
AF119256	AF119256	NA
AF119663	AF119663	GNG12
AF119665	AF119665	PPA1
AF119666	AF119666	NA
AF119818	AF119818	DLGAP2
AF119847	AF119847	NA
AF119856	AF119856	ITIH4
AF119886	AF119886	NA
AF119888	AF119888	NA
AF119889	AF119889	NA
AF119896	AF119896	NA
AF119904	AF119904	NA
AF121255	AF121255	EIF2C2
AF121856	AF121856	SNX6
AF121858	AF121858	SNX8
AF121862	AF121862	SNX13
AF123659	AF123659	LZTS1
AF124432	AF124432	NA
AF124512	AF124512	NA
AF125535	AF125535	WBP5
AF126028	AF126028	FBXL3
AF126163	AF126163	HHLA3
AF126749	AF126749	NA
AF127765	AF127765	CAPN3
AF127771	AF127771	NA
AF129263	AF129263	NA
AF129505	AF129505	SMPX
AF129536	AF129536	FBXO6
AF130728	AF130728	DMRT1
AF130988	AF130988	EDAR
AF131741	AF131741	NA
AF131745	AF131745	ADCK2
AF131748	AF131748	SUCLG2
AF131750	AF131750	DDX17
AF131752	AF131752	NA
AF131753	AF131753	EML4
AF131754	AF131754	SH3BGRL2
AF131756	AF131756	SLC1A2
AF131757	AF131757	NA
AF131760	AF131760	LRP10
AF131762	AF131762	NA
AF131763	AF131763	ZXDC
AF131764	AF131764	MPP5
AF131768	AF131768	C9orf82
AF131770	AF131770	NA
AF131772	AF131772	NA
AF131773	AF131773	NA
AF131774	AF131774	SPRYD3
AF131775	AF131775	FAM35A
AF131776	AF131776	NA
AF131777	AF131777	NA
AF131778	AF131778	NA
AF131779	AF131779	NA
AF131782	AF131782	NA
AF131783	AF131783	NA
AF131784	AF131784	NA
AF131786	AF131786	NA
AF131787	AF131787	NA
AF131788	AF131788	NA
AF131791	AF131791	AVPI1
AF131793	AF131793	HECTD2
AF131795	AF131795	NA
AF131796	AF131796	NA
AF131798	AF131798	NA
AF131799	AF131799	SDK1
AF131803	AF131803	TMEM109
AF131805	AF131805	NA
AF131806	AF131806	NA
AF131808	AF131808	NA
AF131811	AF131811	C6orf204
AF131812	AF131812	NA
AF131813	AF131813	NA
AF131815	AF131815	NA
AF131817	AF131817	NA
AF131818	AF131818	ZDHHC23
AF131819	AF131819	NA
AF131821	AF131821	MGLL
AF131822	AF131822	NA
AF131823	AF131823	NA
AF131824	AF131824	NA
AF131825	AF131825	NA
AF131827	AF131827	HMGCLL1
AF131828	AF131828	C9orf25
AF131829	AF131829	COG3
AF131830	AF131830	NA
AF131831	AF131831	CDC42SE2
AF131834	AF131834	NA
AF131835	AF131835	NA
AF131837	AF131837	NA
AF131838	AF131838	NA
AF131839	AF131839	OLFM2
AF131840	AF131840	SPSB1
AF131841	AF131841	NA
AF131842	AF131842	NTNG2
AF131843	AF131843	NA
AF131846	AF131846	NA
AF131851	AF131851	FAM19A5
AF131852	AF131852	NA
AF131855	AF131855	NA
AF131859	AF131859	PLDN
AF132362	AF132362	HNRPH3
AF132733	AF132733	TMEM87A
AF132734	AF132734	EXOC4
AF134404	AF134404	FADS3
AF134707	AF134707	ADAM19
AF135168	AF135168	NSF
AF135422	AF135422	GMPPA
AF135960	AF135960	LTBP3
AF136408	AF136408	NA
AF138859	AF138859	NA
AF141882	AF141882	SRPRB
AF141901	AF141901	SHANK2
AF141968	AF141968	MACF1
AF142063	AF142063	OCLM
AF142421	AF142421	QKI
AF142482	AF142482	TEAD3
AF143676	AF143676	NRM
AF144054	AF144054	NA
AF144233	AF144233	NA
AF144487	AF144487	SPATA7
AF146277	AF146277	CD2AP
AF146759	AF146759	IFNK
AF146760	AF146760	SEPT10
AF147790	AF147790	NA
AF148505	AF148505	ALDH6A1
AF149724	AF149724	NA
AF149785	AF149785	PTTG1IP
AF151056	AF151056	NA
AF151109	AF151109	MRPL36
AF151638	AF151638	PCTP
AF151810	AF151810	STARD10
AF151867	AF151867	TMED7
AF152338	AF152338	NA
AF152339	AF152339	NA
AF152352	AF152352	TIMM13
AF152492	AF152492	PCDHB13
AF152500	AF152500	NA
AF152502	AF152502	PCDHB9
AF153201	AF153201	ZNF271
AF154121	AF154121	SLC13A3
AF155100	AF155100	ZSCAN21
AF155103	AF155103	ANKRD13A
AF155107	AF155107	ZC3H14
AF155117	AF155117	KIF21A
AF155120	AF155120	NA
AF155648	AF155648	JMJD1A
AF155650	AF155650	RNF130
AF155652	AF155652	KCMF1
AF155654	AF155654	MRFAP1L1
AF156603	AF156603	MLXIPL
AF157323	AF157323	FBXL5
AF157562	AF157562	ELL
AF159092	AF159092	NDRG2
AF159093	AF159093	NA
AF160213	AF160213	TM9SF3
AF161337	AF161337	NA
AF161339	AF161339	ARHGAP9
AF161340	AF161340	NA
AF161341	AF161341	NA
AF161343	AF161343	NA
AF161345	AF161345	NA
AF161351	AF161351	NA
AF161353	AF161353	FXN
AF161354	AF161354	FASTKD3
AF161355	AF161355	NA
AF161360	AF161360	NA
AF161364	AF161364	NA
AF161365	AF161365	NA
AF161368	AF161368	NA
AF161369	AF161369	NA
AF161370	AF161370	NA
AF161371	AF161371	C6orf153
AF161380	AF161380	MRPL38
AF161382	AF161382	WDR73
AF161383	AF161383	C6orf129
AF161386	AF161386	NA
AF161401	AF161401	MRPL32
AF161403	AF161403	NA
AF161407	AF161407	TRAPPC6A
AF161410	AF161410	TMEM49
AF161413	AF161413	LRRC61
AF161414	AF161414	MED11
AF161415	AF161415	NA
AF161417	AF161417	NIPSNAP3A
AF161419	AF161419	ING3
AF161420	AF161420	NA
AF161422	AF161422	NA
AF161425	AF161425	NA
AF161427	AF161427	PIGS
AF161429	AF161429	FIP1L1
AF161434	AF161434	NA
AF161441	AF161441	NA
AF161442	AF161442	NA
AF161444	AF161444	COQ9
AF161451	AF161451	NSMCE1
AF161453	AF161453	MRPS24
AF161500	AF161500	NA
AF161553	AF161553	IVNS1ABP
AF162667	AF162667	TLK2
AF162715	AF162715	NA
AF164104	AF164104	SOX8
AF166125	AF166125	SEPN1
AF167706	AF167706	CRIM1
AF169017	AF169017	FTCD
AF169158	AF169158	CABP5
AF169159	AF169159	CABP5
AF169693	AF169693	PCDH20
AF171055	AF171055	NA
AF172327	AF172327	NA
AF172932	AF172932	AMHR2
AF173358	AF173358	BTBD6
AF174394	AF174394	NA
AF174604	AF174604	FBXO24
AF174605	AF174605	FBXO25
AF175387	AF175387	ETV7
AF176012	AF176012	DNAJC12
AF176646	AF176646	TACC2
AF176701	AF176701	LRRC29
AF176703	AF176703	FBXO4
AF176706	AF176706	FBXO11
AF176707	AF176707	FBXW8
AF177291	AF177291	NA
AF179224	AF179224	TMPRSS4
AF180425	AF180425	C3orf63
AF181265	AF181265	EHD4
AF181286	AF181286	NA
AF182198	AF182198	ITSN2
AF182273	AF182273	CYP3A4
AF182645	AF182645	NA
AF182814	AF182814	MAT2B
AF186780	AF186780	RGL1
AF187813	AF187813	NAT8
AF187859	AF187859	NA
AF188492	AF188492	NA
AF188679	AF188679	SCN11A
AF189251	AF189251	NA
AF195117	AF195117	TINAG
AF195764	AF195764	NA
AF195883	AF195883	NA
AF198444	AF198444	NA
AF199364	AF199364	SMURF1
AF200348	AF200348	PXDN
AF201947	AF201947	MAP2K1IP1
AF201950	AF201950	SS18L2
AF201951	AF201951	MS4A7
AF202063	AF202063	FGFR4
AF202889	AF202889	APOA5
AF203032	AF203032	NEFH
AF203728	AF203728	NA
AF204231	AF204231	GOLGA8A
AF204903	AF204903	NA
AF208502	AF208502	EBF1
AF209931	AF209931	SYDE1
AF210247	AF210247	ENAM
AF212842	AF212842	LILRA5
AF215924	AF215924	ALLC
AF216077	AF216077	TNFRSF19
AF217508	AF217508	CPVL
AF217525	AF217525	DSCAM
AF217798	AF217798	NDEL1
AF218942	AF218942	FMN2
AF220417	AF220417	LGTN
AF220492	AF220492	ZNF267
AF221520	AF221520	OLIG2
AF221846	AF221846	NA
AF222023	AF222023	NA
AF222694	AF222694	LGALS12
AF222857	AF222857	NA
AF222903	AF222903	NA
AF222904	AF222904	NA
AF222980	AF222980	DISC1
AF224266	AF224266	IL20
AF224741	AF224741	CLCN7
AF227899	AF227899	ARID4B
AF227924	AF227924	SIGLEC9
AF228704	AF228704	GSR
AF229166	AF229166	DOK1
AF229803	AF229803	NA
AF229804	AF229804	NA
AF230904	AF230904	SH3KBP1
AF231022	AF231022	FAT2
AF231023	AF231023	CELSR3
AF232216	AF232216	NA
AF232217	AF232217	NA
AF233224	AF233224	FBXO8
AF234532	AF234532	MYO10
AF237413	AF237413	RAP1GDS1
AF238083	AF238083	SPHK1
AF238869	AF238869	GABRA4
AF238870	AF238870	NA
AF241831	AF241831	HABP4
AF242771	AF242771	NA
AF244088	AF244088	ZNF16
AF246221	AF246221	ITM2B
AF248480	AF248480	NA
AF248481	AF248481	NA
AF248483	AF248483	NA
AF248651	AF248651	BRUNOL4
AF250226	AF250226	ADCY6
AF252284	AF252284	SP1
AF257175	AF257175	PECI
AF257659	AF257659	NA
AF257737	AF257737	DNAH9
AF260261	AF260261	ABI2
AF260665	AF260665	MYST1
AF262992	AF262992	SPAG4
AF263462	AF263462	CGN
AF263547	AF263547	DAB1
AF263613	AF263613	PNPLA8
AF264750	AF264750	MLL3
AF265555	AF265555	BIRC6
AF266479	AF266479	CBX8
AF272357	AF272357	NPDC1
AF279865	AF279865	KIF13B
AF283769	AF283769	NA
AF283773	AF283773	NA
AF283775	AF283775	BBX
AF283776	AF283776	NA
AI001780_RC	AI001780_RC	NA
AI005338_RC	AI005338_RC	DSCR1L2
AI026789_RC	AI026789_RC	NA
AI056891_RC	AI056891_RC	NA
AI076473_RC	AI076473_RC	NA
AI091551_RC	AI091551_RC	NA
AI127067_RC	AI127067_RC	NA
AI147042_RC	AI147042_RC	DSG1
AI149762_RC	AI149762_RC	LENG1
AI188762_RC	AI188762_RC	NA
AI198570_RC	AI198570_RC	NA
AI199420_RC	AI199420_RC	NA
AI205537_RC	AI205537_RC	NA
AI208903_RC	AI208903_RC	NA
AI215186_RC	AI215186_RC	NA
AI223310_RC	AI223310_RC	NA
AI243595_RC	AI243595_RC	NA
AI252663_RC	AI252663_RC	NA
AI252801_RC	AI252801_RC	NA
AI261505_RC	AI261505_RC	NA
AI270084_RC	AI270084_RC	NA
AI276215_RC	AI276215_RC	NA
AI280509_RC	AI280509_RC	NA
AI282511_RC	AI282511_RC	NA
AI285736_RC	AI285736_RC	NA
AI286310_RC	AI286310_RC	HSPA5
AI299888_RC	AI299888_RC	NA
AI306503_RC	AI306503_RC	NA
AI310154_RC	AI310154_RC	NA
AI336528_RC	AI336528_RC	NA
AI339981_RC	AI339981_RC	NA
AI347139_RC	AI347139_RC	NA
AI347216_RC	AI347216_RC	NA
AI350096	AI350096	NA
AI355990_RC	AI355990_RC	NA
AI358246_RC	AI358246_RC	NA
AI361680_RC	AI361680_RC	NA
AI373835_RC	AI373835_RC	NA
AI381472_RC	AI381472_RC	NA
AI393246_RC	AI393246_RC	NA
AI400473_RC	AI400473_RC	SP4
AI400862_RC	AI400862_RC	NA
AI401061_RC	AI401061_RC	NA
AI418514_RC	AI418514_RC	NA
AI432517_RC	AI432517_RC	NA
AI434777_RC	AI434777_RC	NA
AI470098_RC	AI470098_RC	NA
AI476318_RC	AI476318_RC	NA
AI478105_RC	AI478105_RC	NA
AI478349_RC	AI478349_RC	NA
AI493593_RC	AI493593_RC	NA
AI497657_RC	AI497657_RC	GNG4
AI536092_RC	AI536092_RC	NA
AI537510_RC	AI537510_RC	NA
AI559539_RC	AI559539_RC	NA
AI564204_RC	AI564204_RC	NA
AI566771_RC	AI566771_RC	NA
AI589851_RC	AI589851_RC	NA
AI632789_RC	AI632789_RC	NA
AI634099_RC	AI634099_RC	NA
AI652405_RC	AI652405_RC	NA
AI655345_RC	AI655345_RC	SPRED1
AI668686_RC	AI668686_RC	NA
AI669022_RC	AI669022_RC	NA
AI677876_RC	AI677876_RC	NA
AI681039_RC	AI681039_RC	NA
AI685170_RC	AI685170_RC	NA
AI694780_RC	AI694780_RC	NA
AI695056_RC	AI695056_RC	NA
AI701905_RC	AI701905_RC	NA
AI742614_RC	AI742614_RC	NA
AI819685_RC	AI819685_RC	NA
AI869951_RC	AI869951_RC	NA
AI885575_RC	AI885575_RC	NA
AI928427_RC	AI928427_RC	NA
AJ000008	AJ000008	PIK3C2G
AJ000414	AJ000414	TRIP10
AJ000480	AJ000480	TRIB1
AJ001017	AJ001017	BTAF1
AJ001417	AJ001417	SLC22A3
AJ001481	AJ001481	NA
AJ001873	AJ001873	NA
AJ002231	AJ002231	GNPDA1
AJ002572	AJ002572	BRWD1
AJ003112	AJ003112	DCX
AJ005273	AJ005273	KIN
AJ005866	AJ005866	SLC35D2
AJ006268	AJ006268	ATP9B
AJ006835	AJ006835	NA
AJ007557	AJ007557	KCNJ13
AJ009936	AJ009936	NR1I2
AJ010228	AJ010228	RFPL1
AJ010230	AJ010230	NA
AJ010306	AJ010306	SMTN
AJ010842	AJ010842	XAB1
AJ011306	AJ011306	EIF2B4
AJ011414	AJ011414	PLXNB1
AJ011497	AJ011497	CLDN7
AJ012370	AJ012370	NAALAD2
AJ012504	AJ012504	NA
AJ012755	AJ012755	NA
AJ131244	AJ131244	NA
AJ132820	AJ132820	NA
AJ133115	AJ133115	TSC22D4
AJ133127	AJ133127	SLC5A4
AJ133439	AJ133439	GRIP1
AJ223352	AJ223352	HIST1H2BK
AJ223353	AJ223353	HIST1H2BD
AJ223366	AJ223366	MYEOV
AJ224162	AJ224162	LIAS
AJ224741	AJ224741	MATN3
AJ224864	AJ224864	CD300A
AJ224875	AJ224875	ALG8
AJ225028	AJ225028	GABBR1
AJ225092	AJ225092	NA
AJ225093	AJ225093	NA
AJ236885	AJ236885	ZNF148
AJ237724	AJ237724	NA
AJ238520	AJ238520	BDP1
AJ242549	AJ242549	MUC4
AJ243107	AJ243107	APAF1
AJ243936	AJ243936	NA
AJ245416	AJ245416	LSM2
AJ245417	AJ245417	LY6G5B
AJ245419	AJ245419	NA
AJ245539	AJ245539	GALNT5
AJ245600	AJ245600	DEPDC7
AJ249377	AJ249377	NA
AJ250014	AJ250014	CYLD
AJ250475	AJ250475	EPDR1
AJ251507	AJ251507	SCN3A
AJ251595	AJ251595	CD44
AJ251708	AJ251708	NA
AJ251759	AJ251759	NA
AJ252060	AJ252060	ZRANB1
AJ270996	AJ270996	TRPM5
AJ271216	AJ271216	DPP3
AJ271684	AJ271684	CLEC5A
AJ272057	AJ272057	MID1IP1
AJ272196	AJ272196	C17orf79
AJ272267	AJ272267	NA
AJ275213	AJ275213	STAB1
AJ275978	AJ275978	NA
AJ276359	AJ276359	MUC4
AJ276429	AJ276429	SLAMF7
AJ276510	AJ276510	NA
AJ276888	AJ276888	MDM2
AJ277165	AJ277165	HR
AJ277276	AJ277276	TRERF1
AJ278110	AJ278110	DDX43
AJ290436	AJ290436	IL1RAPL2
AJ290445	AJ290445	SARM1
AK000001	AK000001	FAM125B
AK000002	AK000002	ABCC10
AK000004	AK000004	FGD3
AK000005	AK000005	NA
AK000006	AK000006	RUTBC3
AK000007	AK000007	FCHSD1
AK000014	AK000014	NA
AK000035	AK000035	MOSC1
AK000039	AK000039	KIAA1546
AK000049	AK000049	CHMP4C
AK000053	AK000053	NA
AK000060	AK000060	ANKRD12
AK000089	AK000089	NA
AK000095	AK000095	NA
AK000102	AK000102	SUHW3
AK000103	AK000103	NA
AK000105	AK000105	NA
AK000106	AK000106	NA
AK000119	AK000119	NA
AK000122	AK000122	NA
AK000124	AK000124	TRPM7
AK000125	AK000125	FZD5
AK000127	AK000127	NA
AK000142	AK000142	C20orf23
AK000144	AK000144	NA
AK000151	AK000151	NA
AK000155	AK000155	NA
AK000160	AK000160	MYO1B
AK000168	AK000168	CD24
AK000173	AK000173	NA
AK000174	AK000174	NA
AK000175	AK000175	NA
AK000179	AK000179	NA
AK000183	AK000183	NA
AK000184	AK000184	SMPDL3A
AK000189	AK000189	NA
AK000208	AK000208	TSPAN33
AK000212	AK000212	NA
AK000216	AK000216	NA
AK000220	AK000220	NA
AK000229	AK000229	NA
AK000242	AK000242	RALGDS
AK000245	AK000245	NA
AK000246	AK000246	NA
AK000257	AK000257	NA
AK000260	AK000260	CDK5RAP3
AK000270	AK000270	NA
AK000271	AK000271	NA
AK000276	AK000276	NA
AK000295	AK000295	NA
AK000297	AK000297	LUZP1
AK000311	AK000311	CRKL
AK000315	AK000315	ALKBH5
AK000325	AK000325	ZC3H7A
AK000332	AK000332	RG9MTD2
AK000342	AK000342	PXK
AK000345	AK000345	DHRS2
AK000354	AK000354	WDR40A
AK000357	AK000357	NA
AK000362	AK000362	SNX14
AK000365	AK000365	POLR3H
AK000368	AK000368	NA
AK000401	AK000401	TANC1
AK000410	AK000410	ZNF326
AK000425	AK000425	ANKRD13B
AK000435	AK000435	NA
AK000441	AK000441	FAM104B
AK000445	AK000445	HOXC9
AK000451	AK000451	NA
AK000455	AK000455	NA
AK000466	AK000466	PPA2
AK000470	AK000470	NA
AK000477	AK000477	NA
AK000482	AK000482	CC2D1A
AK000500	AK000500	MRPL50
AK000511	AK000511	VARSL
AK000525	AK000525	NA
AK000532	AK000532	NA
AK000539	AK000539	NA
AK000543	AK000543	C18orf10
AK000552	AK000552	WDR5
AK000564	AK000564	ZNF416
AK000569	AK000569	ZNF30
AK000572	AK000572	NA
AK000580	AK000580	ZNF630
AK000582	AK000582	THSD4
AK000604	AK000604	NA
AK000617	AK000617	UBE2Q2
AK000637	AK000637	C9orf80
AK000643	AK000643	ASB9
AK000652	AK000652	NA
AK000660	AK000660	CDK6
AK000671	AK000671	NA
AK000674	AK000674	NA
AK000677	AK000677	NA
AK000679	AK000679	C16orf58
AK000684	AK000684	TMEM135
AK000685	AK000685	CCNL2
AK000689	AK000689	ARRDC2
AK000691	AK000691	C6orf85
AK000703	AK000703	C12orf35
AK000709	AK000709	NA
AK000711	AK000711	JAZF1
AK000715	AK000715	PTRF
AK000717	AK000717	SDF4
AK000724	AK000724	KPNA6
AK000729	AK000729	SLC36A1
AK000730	AK000730	PIGN
AK000745	AK000745	MTDH
AK000757	AK000757	SORT1
AK000762	AK000762	ZNF26
AK000763	AK000763	SMPD4
AK000770	AK000770	NA
AK000774	AK000774	NA
AK000776	AK000776	NA
AK000777	AK000777	NA
AK000780	AK000780	NA
AK000781	AK000781	LPHN3
AK000787	AK000787	NA
AK000788	AK000788	NA
AK000789	AK000789	NA
AK000791	AK000791	NA
AK000798	AK000798	NA
AK000799	AK000799	NA
AK000800	AK000800	TXNDC10
AK000802	AK000802	NA
AK000803	AK000803	LYRM7
AK000808	AK000808	STK40
AK000819	AK000819	NA
AK000821	AK000821	NA
AK000822	AK000822	RSL1D1
AK000823	AK000823	YIPF1
AK000824	AK000824	TCTA
AK000825	AK000825	GPR107
AK000827	AK000827	NA
AK000833	AK000833	AAAS
AK000838	AK000838	SH3PXD2B
AK000850	AK000850	NA
AK000851	AK000851	NA
